_id,city,email,coordinates0,coordinates1,locationType,name,picture
5a0c6711fb3aac66aafe26c4,Rabat,leilaware@gushkool.com,-6.81134,33.95564,Point,Gushkool,http://placehold.it/150x150
5a0c6711fb3aac66aafe26c5,Rabat,leilaware@datagene.com,-6.83746,33.91183,Point,Datagene,http://placehold.it/150x150
5a0c6711fb3aac66aafe26c6,Rabat,leilaware@silodyne.com,-6.75175,33.96853,Point,Silodyne,http://placehold.it/150x150
5a0c6711fb3aac66aafe26c7,Rabat,leilaware@canopoly.com,-6.77404,33.80354,Point,Canopoly,http://placehold.it/150x150
5a0c6711fb3aac66aafe26c8,Rabat,leilaware@sonique.com,-6.74938,33.83436,Point,Sonique,http://placehold.it/150x150
5a0c6711fb3aac66aafe26c9,Rabat,leilaware@quiltigen.com,-6.84286,33.96579,Point,Quiltigen,http://placehold.it/150x150
5a0c6711fb3aac66aafe26ca,Rabat,leilaware@infotrips.com,-6.80604,33.94889,Point,Infotrips,http://placehold.it/150x150
5a0c6711fb3aac66aafe26cb,Rabat,leilaware@biflex.com,-6.8123,33.86261,Point,Biflex,http://placehold.it/150x150
5a0c6711fb3aac66aafe26cc,Rabat,leilaware@permadyne.com,-6.75058,33.81395,Point,Permadyne,http://placehold.it/150x150
5a0c6711fb3aac66aafe26cd,Rabat,leilaware@bunga.com,-6.77428,33.94109,Point,Bunga,http://placehold.it/150x150
5a0c6711fb3aac66aafe26ce,Rabat,leilaware@vendblend.com,-6.78522,33.89471,Point,Vendblend,http://placehold.it/150x150
5a0c6711fb3aac66aafe26cf,Rabat,leilaware@strezzo.com,-6.78271,33.8021,Point,Strezzo,http://placehold.it/150x150
5a0c6711fb3aac66aafe26d0,Rabat,leilaware@multiflex.com,-6.84318,33.91423,Point,Multiflex,http://placehold.it/150x150
5a0c6711fb3aac66aafe26d1,Rabat,leilaware@amtas.com,-6.76681,33.92546,Point,Amtas,http://placehold.it/150x150
5a0c6711fb3aac66aafe26d2,Rabat,leilaware@medmex.com,-6.75185,33.89586,Point,Medmex,http://placehold.it/150x150
5a0c6711fb3aac66aafe26d3,Rabat,leilaware@limozen.com,-6.84619,33.94625,Point,Limozen,http://placehold.it/150x150
5a0c6711fb3aac66aafe26d4,Rabat,leilaware@securia.com,-6.82966,33.94125,Point,Securia,http://placehold.it/150x150
5a0c6748fb3aac66aafe26d5,Rabat,leilaware@enerforce.com,-6.79465,33.97383,Point,Enerforce,http://placehold.it/150x150
5a0c6748fb3aac66aafe26d6,Rabat,leilaware@earwax.com,-6.81943,33.87998,Point,Earwax,http://placehold.it/150x150
5a0c6748fb3aac66aafe26d7,Rabat,leilaware@cablam.com,-6.75778,33.97468,Point,Cablam,http://placehold.it/150x150
5a0c6748fb3aac66aafe26d8,Rabat,leilaware@emoltra.com,-6.78269,33.91448,Point,Emoltra,http://placehold.it/150x150
5a0c6748fb3aac66aafe26d9,Rabat,leilaware@tubalum.com,-6.79337,33.80098,Point,Tubalum,http://placehold.it/150x150
5a0c6748fb3aac66aafe26da,Rabat,leilaware@toyletry.com,-6.75454,33.82381,Point,Toyletry,http://placehold.it/150x150
5a0c6748fb3aac66aafe26db,Rabat,leilaware@comveyor.com,-6.75603,33.85214,Point,Comveyor,http://placehold.it/150x150
5a0c6748fb3aac66aafe26dc,Rabat,leilaware@techmania.com,-6.80777,33.98156,Point,Techmania,http://placehold.it/150x150
5a0c6748fb3aac66aafe26dd,Rabat,leilaware@peticular.com,-6.78231,33.83055,Point,Peticular,http://placehold.it/150x150
5a0c6748fb3aac66aafe26de,Rabat,leilaware@teraprene.com,-6.84167,33.81279,Point,Teraprene,http://placehold.it/150x150
5a0c6755fb3aac66aafe26df,Rabat,leilaware@quarex.com,-6.78929,33.82861,Point,Quarex,http://placehold.it/150x150
5a0c6755fb3aac66aafe26e0,Rabat,leilaware@kiggle.com,-6.8244,33.80087,Point,Kiggle,http://placehold.it/150x150
5a0c6755fb3aac66aafe26e1,Rabat,leilaware@amtap.com,-6.77772,33.94732,Point,Amtap,http://placehold.it/150x150
5a0c6755fb3aac66aafe26e2,Rabat,leilaware@maxemia.com,-6.79656,33.82961,Point,Maxemia,http://placehold.it/150x150
5a0c6789fd3eb67969316ccc,Rabat,leilaware@splinx.com,-6.76639,33.96536,Point,Splinx,http://placehold.it/150x150
5a0c6789fd3eb67969316ccd,Rabat,leilaware@plexia.com,-6.77151,33.97996,Point,Plexia,http://placehold.it/150x150
5a0c6789fd3eb67969316cce,Rabat,leilaware@zytrax.com,-6.75629,33.81514,Point,Zytrax,http://placehold.it/150x150
5a0c6789fd3eb67969316ccf,Rabat,leilaware@nebulean.com,-6.80549,33.84752,Point,Nebulean,http://placehold.it/150x150
5a0c6789fd3eb67969316cd0,Rabat,leilaware@chillium.com,-6.80111,33.83202,Point,Chillium,http://placehold.it/150x150
